"","x"
"1066",14000
"1067",7837
"1068",9760
"1069",3964
"1070",9600
"1071",10152
"1072",11700
"1073",7585
"1074",7950
"1075",8556
"1076",13125
"1077",10800
"1078",15870
"1079",4435
"1080",8775
"1081",11040
"1082",7500
"1083",8749
"1084",8800
"1085",13031
"1086",9069
"1087",1974
"1088",10574
"1089",2522
"1090",3316
"1091",8544
"1092",2160
"1093",8400
"1094",9230
"1095",5868
"1096",9317
"1097",6882
"1098",3696
"1099",6000
"1100",11880
"1101",8400
"1102",9758
"1103",7000
"1104",8910
"1105",2016
"1106",12256
"1107",10357
"1108",23257
"1109",8063
"1110",11362
"1111",8000
"1112",10480
"1113",7100
"1114",8923
"1115",5400
"1116",12085
"1117",7750
"1118",9764
"1119",13825
"1120",7560
"1121",8263
"1122",10084
"1123",8926
"1124",9405
"1125",9125
"1126",10434
"1127",3684
"1128",14572
"1129",11796
"1130",7200
"1131",7804
"1132",10712
"1133",9900
"1134",9828
"1135",8773
"1136",6180
"1137",9600
"1138",6342
"1139",9819
"1140",8731
"1141",7350
"1142",10304
"1143",9965
"1144",9000
"1145",12180
"1146",6240
"1147",11200
"1148",12000
"1149",5700
"1150",9000
"1151",8280
"1152",17755
"1153",14115
"1154",5890
"1155",13700
"1156",10768
"1157",9350
"1158",5001
"1159",11932
"1160",9120
"1161",2280
"1162",14778
"1163",8724
"1164",12900
"1165",16157
"1166",9541
"1167",10475
"1168",10852
"1169",13728
"1170",35760
"1171",9880
"1172",9120
"1173",4017
"1174",18030
"1175",16560
"1176",10678
"1177",6951
"1178",3950
"1179",7681
"1180",8335
"1181",11170
"1182",5587
"1183",15623
"1184",10800
"1185",35133
"1186",9738
"1187",10615
"1188",12461
"1189",8935
"1190",7500
"1191",32463
"1192",2645
"1193",9600
"1194",4500
"1195",9364
"1196",8029
"1197",14054
"1198",8850
"1199",9100
"1200",11235
"1201",9353
"1202",10400
"1203",6000
"1204",9750
"1205",10140
"1206",14684
"1207",8900
"1208",9135
"1209",7763
"1210",10182
"1211",11218
"1212",12134
"1213",9340
"1214",10246
"1215",10205
"1216",7094
"1217",8930
"1218",8640
"1219",6240
"1220",1680
"1221",7800
"1222",8250
"1223",10496
"1224",10680
"1225",15384
"1226",10482
"1227",14598
"1228",8872
"1229",8769
"1230",7910
"1231",18890
"1232",7728
"1233",9842
"1234",12160
"1235",8525
"1236",13132
"1237",2628
"1238",12393
"1239",13072
"1240",9037
"1241",8158
"1242",9849
"1243",10625
"1244",13891
"1245",11435
"1246",12090
"1247",8125
"1248",12328
"1249",9600
"1250",7200
"1251",11160
"1252",3136
"1253",9858
"1254",17542
"1255",6931
"1256",6240
"1257",14303
"1258",4060
"1259",9587
"1260",9750
"1261",24682
"1262",9600
"1263",11250
"1264",13515
"1265",4060
"1266",3735
"1267",10120
"1268",13214
"1269",14100
"1270",11344
"1271",23595
"1272",9156
"1273",13526
"1274",11512
"1275",5362
"1276",11345
"1277",12936
"1278",17871
"1279",9473
"1280",7500
"1281",9808
"1282",8049
"1283",8800
"1284",9400
"1285",9638
"1286",6000
"1287",9790
"1288",36500
"1289",5664
"1290",11065
"1291",14112
"1292",1680
"1293",6600
"1294",10140
"1295",8172
"1296",8400
"1297",8700
"1298",3675
"1299",63887
"1300",7500
"1301",10762
"1302",7500
"1303",10120
"1304",8688
"1305",3363
"1306",13173
"1307",6955
"1308",8072
"1309",12000
"1310",7153
"1311",17500
"1312",8814
"1313",9572
"1314",14774
"1315",8190
"1316",11075
"1317",10226
"1318",4230
"1319",14781
"1320",10215
"1321",8400
"1322",6627
"1323",10186
"1324",5330
"1325",9986
"1326",3636
"1327",4270
"1328",6600
"1329",10440
"1330",9084
"1331",10000
"1332",10780
"1333",8877
"1334",7200
"1335",2368
"1336",9650
"1337",9246
"1338",4118
"1339",13450
"1340",9560
"1341",8294
"1342",13695
"1343",9375
"1344",7558
"1345",11103
"1346",6000
"1347",20781
"1348",15306
"1349",16196
"1350",5250
"1351",11643
"1352",9247
"1353",6000
"1354",14720
"1355",10316
"1356",10192
"1357",9477
"1358",12537
"1359",2117
"1360",16737
"1361",9842
"1362",16158
"1363",12513
"1364",8499
"1365",3180
"1366",7500
"1367",9179
"1368",2665
"1369",4435
"1370",10635
"1371",5400
"1372",9600
"1373",9750
"1374",11400
"1375",10625
"1376",10991
"1377",6292
"1378",10998
"1379",1953
"1380",9735
"1381",8212
"1382",12925
"1383",7200
"1384",25339
"1385",9060
"1386",5436
"1387",16692
"1388",8520
"1389",14892
"1390",6000
"1391",9100
"1392",8944
"1393",7838
"1394",10800
"1395",4045
"1396",12665
"1397",57200
"1398",6120
"1399",7200
"1400",6171
"1401",6000
"1402",7415
"1403",6762
"1404",15256
"1405",10410
"1406",3842
"1407",8445
"1408",8780
"1409",7740
"1410",20544
"1411",12420
"1412",9600
"1413",7200
"1414",10994
"1415",13053
"1416",3635
"1417",11340
"1418",16545
"1419",9204
"1420",16381
"1421",11700
"1422",4043
"1423",4435
"1424",19690
"1425",9503
"1426",10721
"1427",10944
"1428",10930
"1429",7200
"1430",12546
"1431",21930
"1432",4928
"1433",10800
"1434",10261
"1435",17400
"1436",8400
"1437",9000
"1438",12444
"1439",7407
"1440",11584
"1441",11526
"1442",4426
"1443",11003
"1444",8854
"1445",8500
"1446",8400
"1447",26142
"1448",10000
"1449",11767
"1450",1533
"1451",9000
"1452",9262
"1453",3675
"1454",17217
"1455",7500
"1456",7917
"1457",13175
"1458",9042
"1459",9717
"1460",9937
